,global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
0,10,10,130,0,3,0,0,0,0,0,0,0,25.54068328789761,0.5814
1,22,22,130,0,1,0,26,0,3,10,1,0,11.812025507266227,0.5814
2,34,34,130,0,3,0,0,0,0,0,0,0,14.967327623767812,0.5814
3,10,10,131,0,3,0,0,0,0,0,0,0,25.44913750972559,0.5727
4,22,22,131,0,1,0,27,0,2,17,2,1,11.728933069863295,0.5727
5,34,34,131,0,3,0,1,0,1,0,0,2,14.897080505943467,0.5727
6,10,10,132,0,3,0,0,0,0,0,0,0,25.3678046538191,0.5791
7,22,22,132,0,1,0,21,0,1,20,1,1,11.648435151531594,0.5791
8,34,34,132,0,3,0,1,0,0,0,0,1,14.831532390697056,0.5791
9,10,10,133,0,3,0,0,0,0,0,0,0,25.274827745960277,0.5791
10,22,22,133,0,1,0,14,0,1,14,1,0,11.56832148664128,0.5791
11,34,34,133,0,3,0,0,0,0,0,0,1,14.785160711718156,0.5791
12,10,10,134,0,3,0,0,0,0,0,0,0,25.182438170277944,0.5738
13,22,22,134,0,1,0,19,0,5,19,1,0,11.488757020842591,0.5738
14,34,34,134,0,3,0,0,0,0,0,0,1,14.747147595751558,0.5738
15,10,10,135,0,3,0,0,0,0,0,0,0,25.113539310570943,0.5743
16,22,22,135,0,1,0,19,0,1,17,2,0,11.414250697068482,0.5743
17,34,34,135,0,3,0,0,0,0,0,0,0,14.703230108329391,0.5743
18,10,10,136,0,3,0,0,0,0,0,0,0,25.04936061304759,0.5742
19,22,22,136,0,1,0,18,0,3,16,2,1,11.33809076842848,0.5742
20,34,34,136,0,3,0,0,0,0,0,0,0,14.665287980116128,0.5742
21,10,10,137,0,3,0,0,0,0,0,0,0,24.975790880893346,0.5825
22,22,22,137,0,1,0,19,0,1,16,2,0,11.265027933045028,0.5825
23,34,34,137,0,3,0,0,0,0,0,0,0,14.637951409839532,0.5825
24,10,10,138,0,3,0,0,0,0,0,0,0,24.89475043070519,0.5751
25,22,22,138,0,1,0,16,0,0,16,1,0,11.18928877507334,0.5751
26,34,34,138,0,3,0,0,0,0,0,0,0,14.594393958115708,0.5751
27,10,10,139,0,3,0,0,0,0,0,0,0,24.794649015550576,0.5745999999999999
28,22,22,139,0,1,0,21,0,1,22,2,1,11.113859163443385,0.5745999999999999
29,34,34,139,0,3,0,0,0,0,0,0,0,14.551652585951103,0.5745999999999999
30,10,10,140,0,3,0,0,0,0,0,0,0,24.69776873798411,0.5307
31,22,22,140,0,1,0,19,0,1,18,2,1,11.043999386004815,0.5307
32,34,34,140,0,3,0,0,0,0,0,0,0,14.506513316551992,0.5307
33,10,10,141,0,3,0,0,0,0,0,0,0,24.613665053124407,0.5326000000000001
34,22,22,141,0,1,0,21,0,3,24,2,0,10.97282939927766,0.5326000000000001
35,34,34,141,0,3,0,0,0,0,0,0,0,14.459303993628136,0.5326000000000001
36,10,10,142,0,3,0,0,0,0,0,0,0,24.522226954485664,0.5368999999999999
37,22,22,142,0,1,0,23,0,3,21,3,0,10.903573748910706,0.5368999999999999
38,34,34,142,0,3,0,0,0,0,0,0,0,14.421502601680118,0.5368999999999999
39,10,10,143,0,3,0,0,0,0,0,0,0,24.44507404321817,0.5346
40,22,22,143,0,1,0,21,0,3,22,2,1,10.83830408174824,0.5346
41,34,34,143,0,3,0,0,0,0,0,0,0,14.380693104344,0.5346
42,10,10,144,0,3,0,0,0,0,0,0,0,24.35575787401037,0.542
43,22,22,144,0,1,0,23,0,3,22,2,0,10.769922940009437,0.542
44,34,34,144,0,3,0,0,0,0,0,0,0,14.344461229588596,0.542
45,10,10,145,0,3,0,0,0,0,0,0,0,24.27680077537881,0.5388
46,22,22,145,0,1,0,26,0,4,18,3,0,10.700382608044434,0.5388
47,34,34,145,0,3,0,0,0,0,0,0,0,14.305812056760892,0.5388
48,10,10,146,0,3,0,0,0,0,0,0,0,24.18486003077322,0.5387
49,22,22,146,0,1,0,24,0,2,27,3,1,10.63548166619801,0.5387
50,34,34,146,0,3,0,0,0,0,0,0,1,14.268650207132175,0.5387
51,10,10,147,0,3,0,0,0,0,0,0,0,24.109947750538517,0.54
52,22,22,147,0,1,0,23,0,5,23,3,1,10.570411448229208,0.54
53,34,34,147,0,3,0,0,0,0,0,0,0,14.229465456006308,0.54
54,10,10,148,0,3,0,0,0,0,0,0,0,24.022608499920732,0.5696
55,22,22,148,0,1,0,21,0,3,21,2,1,10.505423917695058,0.5696
56,34,34,148,0,3,0,0,0,0,0,0,0,14.202470805691336,0.5696
57,10,10,149,0,3,0,0,0,0,0,0,0,23.932089264276787,0.5393000000000001
58,22,22,149,0,1,0,23,0,5,23,2,0,10.441162310995356,0.5393000000000001
59,34,34,149,0,3,0,0,0,0,0,0,0,14.163163121731898,0.5393000000000001
60,10,10,150,0,3,0,0,0,0,0,0,0,23.85950845982496,0.5383000000000001
61,22,22,150,0,1,0,20,0,1,23,1,1,10.379898416367809,0.5383000000000001
62,34,34,150,0,3,0,0,0,0,0,0,0,14.12437020606082,0.5383000000000001
63,10,10,151,0,3,0,0,0,0,0,0,0,23.790140007584355,0.5342
64,22,22,151,0,1,0,18,0,2,22,0,1,10.31881583816414,0.5342
65,34,34,151,0,3,0,0,0,0,0,0,0,14.088033804316725,0.5342
66,10,10,152,0,3,0,0,0,0,0,0,0,23.709016837182848,0.5358
67,22,22,152,0,1,0,20,0,3,24,0,1,10.255603189397558,0.5358
68,34,34,152,0,3,0,0,0,0,0,0,0,14.051774610341653,0.5358
69,10,10,153,0,3,0,0,0,0,0,0,0,23.63709005210513,0.5245
70,22,22,153,0,1,0,23,0,3,25,2,1,10.195056109731905,0.5245
71,34,34,153,0,3,0,0,0,0,0,0,0,13.999333635520417,0.5245
72,10,10,154,0,3,0,0,0,0,0,0,0,23.56444501996597,0.5243
73,22,22,154,0,1,0,17,0,5,26,0,0,10.131389289116251,0.5243
74,34,34,154,0,3,0,0,0,0,0,0,0,13.971370699375289,0.5243
75,10,10,155,0,3,0,0,0,0,0,0,0,23.486678926410814,0.5231
76,22,22,155,0,1,0,31,0,3,21,1,0,10.071618834603846,0.5231
77,34,34,155,0,3,0,0,0,0,0,0,0,13.930628027602165,0.5231
78,10,10,156,0,3,0,0,0,0,0,0,0,23.420690992704387,0.5234000000000001
79,22,22,156,0,1,0,24,0,5,25,1,0,10.016751724287529,0.5234000000000001
80,34,34,156,0,3,0,1,0,0,0,0,1,13.877221380285544,0.5234000000000001
81,10,10,157,0,3,0,0,0,0,0,0,0,23.355923705457208,0.5355000000000001
82,22,22,157,0,1,0,28,0,7,27,2,1,9.958062678713636,0.5355000000000001
83,34,34,157,0,3,0,3,0,0,0,1,1,13.822639978181009,0.5355000000000001
84,10,10,158,0,3,0,0,0,0,0,0,0,23.29790810616278,0.539
85,22,22,158,0,1,0,20,0,3,28,1,1,9.902359927887549,0.539
86,34,34,158,0,3,0,4,0,0,0,1,1,13.762296835709154,0.539
87,10,10,159,0,3,0,0,0,0,0,0,0,23.23148469111668,0.539
88,22,22,159,0,1,0,27,0,2,38,3,0,9.84730187486409,0.539
89,34,34,159,0,3,0,2,0,0,0,1,1,13.702912044642868,0.539
90,10,10,160,0,3,0,0,0,0,0,0,0,23.16488465726504,0.6076
91,22,22,160,0,1,0,26,0,2,26,3,0,9.79030983654981,0.6076
92,34,34,160,0,3,0,2,0,0,0,1,1,13.648865541231991,0.6076
93,10,10,161,0,3,0,0,0,0,0,0,0,23.086447024290067,0.6060000000000001
94,22,22,161,0,1,0,25,0,3,36,3,1,9.73430411401212,0.6060000000000001
95,34,34,161,0,3,0,1,0,0,0,1,1,13.597747773406953,0.6060000000000001
96,10,10,162,0,3,0,0,0,0,0,0,0,23.009386310626613,0.5627000000000001
97,22,22,162,0,1,0,26,0,0,35,4,1,9.679715417639814,0.5627000000000001
98,34,34,162,0,1,0,8,0,0,0,1,1,13.527089712978311,0.5627000000000001
99,10,10,163,0,3,0,0,0,0,0,0,0,22.925006420356787,0.5633000000000001
100,22,22,163,0,1,0,19,0,2,42,4,1,9.626340477658662,0.5633000000000001
101,34,34,163,0,1,0,10,0,0,0,1,1,13.449407050982424,0.5633000000000001
102,10,10,164,0,3,0,0,0,0,0,0,0,22.839769228420664,0.5633000000000001
103,22,22,164,0,1,0,25,0,1,41,4,1,9.575380444744372,0.5633000000000001
104,34,34,164,0,1,0,6,0,0,0,1,1,13.378618884352644,0.5633000000000001
105,10,10,165,0,3,0,0,0,0,0,0,0,22.762438513834844,0.5578000000000001
106,22,22,165,0,1,0,20,0,4,41,4,0,9.524562554701804,0.5578000000000001
107,34,34,165,0,1,0,5,0,0,0,0,1,13.31360343719306,0.5578000000000001
108,10,10,166,0,3,0,0,0,0,0,0,0,22.674331282905403,0.5633000000000001
109,22,22,166,0,1,0,28,0,2,41,4,0,9.473692619953946,0.5633000000000001
110,34,34,166,0,1,0,7,0,1,0,1,1,13.244395891126858,0.5633000000000001
111,10,10,167,0,3,0,0,0,0,0,0,0,22.5910052559839,0.5578000000000001
112,22,22,167,0,1,0,20,0,2,41,3,1,9.422816958140166,0.5578000000000001
