global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
34,34,153,0,3,0,0,0,0,0,0,0,13.999333635520417,0.5245
10,10,154,0,3,0,0,0,0,0,0,0,23.56444501996597,0.5243
22,22,154,0,1,0,17,0,5,26,0,0,10.131389289116251,0.5243
34,34,154,0,3,0,0,0,0,0,0,0,13.971370699375289,0.5243
10,10,155,0,3,0,0,0,0,0,0,0,23.486678926410814,0.5231
22,22,155,0,1,0,31,0,3,21,1,0,10.071618834603846,0.5231
34,34,155,0,3,0,0,0,0,0,0,0,13.930628027602165,0.5231
10,10,156,0,3,0,0,0,0,0,0,0,23.420690992704387,0.5234000000000001
22,22,156,0,1,0,24,0,5,25,1,0,10.016751724287529,0.5234000000000001
34,34,156,0,3,0,1,0,0,0,0,1,13.877221380285544,0.5234000000000001
10,10,157,0,3,0,0,0,0,0,0,0,23.355923705457208,0.5355000000000001
22,22,157,0,1,0,28,0,7,27,2,1,9.958062678713636,0.5355000000000001
34,34,157,0,3,0,3,0,0,0,1,1,13.822639978181009,0.5355000000000001
10,10,158,0,3,0,0,0,0,0,0,0,23.29790810616278,0.539
22,22,158,0,1,0,20,0,3,28,1,1,9.902359927887549,0.539
34,34,158,0,3,0,4,0,0,0,1,1,13.762296835709154,0.539
10,10,159,0,3,0,0,0,0,0,0,0,23.23148469111668,0.539
22,22,159,0,1,0,27,0,2,38,3,0,9.84730187486409,0.539
34,34,159,0,3,0,2,0,0,0,1,1,13.702912044642868,0.539
10,10,160,0,3,0,0,0,0,0,0,0,23.16488465726504,0.6076
22,22,160,0,1,0,26,0,2,26,3,0,9.79030983654981,0.6076
34,34,160,0,3,0,2,0,0,0,1,1,13.648865541231991,0.6076
10,10,161,0,3,0,0,0,0,0,0,0,23.086447024290067,0.6060000000000001
22,22,161,0,1,0,25,0,3,36,3,1,9.73430411401212,0.6060000000000001
34,34,161,0,3,0,1,0,0,0,1,1,13.597747773406953,0.6060000000000001
10,10,162,0,3,0,0,0,0,0,0,0,23.009386310626613,0.5627000000000001
22,22,162,0,1,0,26,0,0,35,4,1,9.679715417639814,0.5627000000000001
34,34,162,0,1,0,8,0,0,0,1,1,13.527089712978311,0.5627000000000001
